;YERR;PCR;GCR;ITR;XTR;MTR;YED;PCD;GCD;ITD;XTD;MTD;YFD;YIN;WIN;GON;TIN;YFN;HICP;HEX;HEG;HICPSA;HEXSA;HEGWEI;CAN_YEN;NFN_YEN;LFN;LNN;UNN;URX;LEN;STN;LTN;COMPR;POILU;PCOMU;YWD;YWDX;YWR;YWRX;LPROD;ULC;WRN;SAX;EEN;EXR
1970Q1;737933.505809761;410856.937464293;130799.725963596;191789.903390969;101983.827440394;105233.591828422;0.163933504;0.166563619;0.140096114;0.170526030;0.220429270;0.220915666;0.144440674;120972.025118791;59470.989100110;47116.623925516;14384.412093164;106587.613025626;20.051502264;NA;NA;NA;NA;NA;NA;NA;123551.639428838;121586.115641257;1965.523787581;0.015908520;93206.953884241;7.986993218;7.922865000;6.931121425;2.230000000;37.979695064;0.221383733;0.274263222;51.179606934;16127.206995413;6.069225108;0.080591257;0.489126483;0.293723460;1.541248650;NA
1970Q2;752117.995707864;415970.259167828;133115.761275554;203179.456674518;104601.270941249;107851.295964975;0.167333480;0.169039973;0.144687363;0.173190485;0.225776892;0.226056158;0.147695771;125854.521962357;62217.894508659;48866.752855232;14769.874598467;111084.647363891;20.277311103;NA;NA;NA;NA;NA;NA;NA;123595.111778436;121689.955529997;1905.156248439;0.015414495;93542.009537566;7.956545004;8.254439000;6.912724161;2.230000000;37.728172951;0.224936044;0.279265283;52.330332324;16481.845487676;6.180608682;0.082723582;0.511282088;0.296073871;1.530972745;NA
1970Q3;761179.187353609;420960.367465559;135045.614646987;206270.703083887;107005.658026383;111515.023732459;0.169833913;0.171891929;0.146860726;0.175703467;0.230248009;0.227185664;0.150072508;129274.039747873;64719.610590060;49512.459249494;15041.969908320;114232.069839554;20.465649554;NA;NA;NA;NA;NA;NA;NA;123818.721718473;121847.154374518;1971.567343956;0.015923015;93897.484198963;7.602188806;8.384747000;6.800764277;2.230000000;36.219046273;0.228974235;0.284327313;52.818964998;16647.706733281;6.247000115;0.085025460;0.531154059;0.294623182;1.527458388;NA
1970Q4;770399.977837451;429134.734025770;137269.296782558;205429.124907584;108460.971688648;111818.032084057;0.171748019;0.174040613;0.147573153;0.178047182;0.233735760;0.228627938;0.151414223;132314.670258019;67095.004251740;49554.509814089;15665.156192190;116649.514065829;20.723625415;NA;NA;NA;NA;NA;NA;NA;124018.551089189;122060.722900100;1957.828189089;0.015786575;94349.064821451;7.242308404;8.340932000;6.762823597;2.230000000;35.716003247;0.234164337;0.289439917;52.689044641;16715.004856534;6.311612446;0.087091130;0.549685457;0.289285880;1.526830908;NA
1971Q1;769052.941670090;432089.639298711;137727.329531478;204327.404076984;110666.296495554;113662.553962441;0.176363808;0.176479883;0.157664627;0.182646075;0.235453778;0.230745857;0.155815374;135633.105500417;69445.265651293;50385.006066695;15802.833782430;119830.271717987;21.103230862;NA;NA;NA;NA;NA;NA;NA;124271.588113346;122277.426886530;1994.161226817;0.016046799;94815.328323661;6.516898213;7.860624000;7.365412278;2.550000000;36.156166944;0.238009885;0.292870263;53.050584880;16753.857323494;6.289410574;0.090299720;0.567932017;0.292139514;1.530164350;0.972365128
1971Q2;778904.633209172;438500.859425096;140211.903045075;209727.537602441;110585.473175118;112827.852079039;0.178364832;0.179119041;0.158521207;0.185662144;0.237751709;0.232892174;0.157700857;138929.194033848;70975.092988063;51858.835523252;16095.265522532;122833.928511315;21.459172064;NA;NA;NA;NA;NA;NA;NA;124631.130956085;122537.547640850;2093.583315235;0.016798237;95110.977174398;5.938637529;7.930762000;8.823929354;3.450000000;36.093285217;0.241867995;0.295869394;53.846529578;16947.499129622;6.356456843;0.091121673;0.579210979;0.290944705;1.522262692;0.967501374
1971Q3;791052.356386741;442326.878640286;141728.057002764;210718.434157479;115877.603523493;116062.992286038;0.181006639;0.182016341;0.162757082;0.187733379;0.240045308;0.237391301;0.160047855;143185.728446240;73373.545218924;53232.687572550;16579.495654766;126606.232791474;21.711785589;NA;NA;NA;NA;NA;NA;NA;124266.668891971;122176.945285479;2089.723606492;0.016816445;95263.620571786;6.226212562;8.026981000;8.753291983;3.420000000;35.841764304;0.245915200;0.297793873;54.309265396;17128.542668373;6.474645069;0.092754348;0.600551479;0.291718006;1.499918165;0.951682809
1971Q4;797344.158262985;447426.261415449;142784.872572830;213345.595032511;115896.636014838;117116.283354077;0.183505350;0.184125824;0.163972939;0.190311551;0.238611664;0.236337954;0.162451208;146316.919198029;75411.808475180;54117.713042695;16787.397680154;129529.521517875;22.040917106;NA;NA;NA;NA;NA;NA;NA;124426.923967805;122172.699348909;2254.224618896;0.018116856;95547.995864553;6.005823296;7.846030000;8.759153729;3.400000000;36.219045074;0.250048668;0.298551870;54.468125633;17273.142373180;6.526369332;0.094578743;0.617255810;0.296184852;1.497927579;0.927411266
1972Q1;809159.306745992;455043.789911717;145227.918436370;215878.913560040;121088.772060266;122858.311044638;0.187612096;0.187165861;0.170513467;0.193187705;0.240854032;0.234433839;0.166115827;151808.073903975;78673.458427624;55740.708831758;17393.906644594;134414.167259381;22.413586998;NA;NA;NA;NA;NA;NA;NA;124703.202806965;122302.107129239;2401.095677727;0.019254483;95941.834455997;5.046600907;7.587651000;9.412250455;3.576670000;40.180503953;0.254298470;0.300359895;55.260226601;17527.111941311;6.616070040;0.097228639;0.643271488;0.300004341;1.474462072;0.887363974
1972Q2;814607.741471501;457044.544057480;146048.619809504;218910.524904614;122375.730083683;126040.420329897;0.190256384;0.189635213;0.172024643;0.195990799;0.246028682;0.235048637;0.168569407;154984.323309844;80317.693988651;57000.250109584;17666.379211609;137317.944098235;22.733718986;NA;NA;NA;NA;NA;NA;NA;124785.318536364;122346.906349541;2438.412186822;0.019540858;96186.494121742;4.753677934;7.549709000;9.535665911;3.640000000;40.432024866;0.257792539;0.305305068;56.390594207;17745.418966595;6.658180135;0.098596772;0.656475071;0.301361220;1.467538335;0.882077456
